sp,gen,fam,Growth_Rings,Vessel_porosity,Vessel_arangement,Perforation_plates,Intervessel_pits_arregement,Mean_tangential_diameter_of_vessel_lumina,Septa_in_fibers,Fibre_wall_thickness,Parenchyma_Paratracheal,Type_of_parenchyma_banding,Ray_width,Rays_cellular_composition,TropicalHumid,TropicalDry,TropicalGrasslands,Mangrove,Biome,predicted_biome,bioma_final
Cryptocarya mannii,Cryptocarya,LAURACEAE,1,2,3,0,2,1,1,1,1,5,0,1,0.75,0.25,0.0,0.0,TropicalHumid,TropicalHumid,
Cuervea kappleriana,Cuervea,CELASTRACEAE,1,2,3,0,2,2,0,1,1,4,1,3,0.898550725,0.02173913,0.007246377,0.014492754,TropicalHumid,TropicalHumid,Tropical humid forest
Cupania dentata,Cupania,SAPINDACEAE,0,2,3,0,2,2,0,1,1,1,3,0,0.727002967,0.151335312,0.0,0.038575668,TropicalHumid,TropicalHumid,
Curarea candicans,Curarea,MENISPERMACEAE,1,2,3,0,2,1,1,1,1,5,0,2,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Curatella americana,Curatella,DILLENIACEAE,1,2,3,0,2,2,1,1,1,5,3,0,0.36664763,0.154768704,0.304397487,0.02055968,TropicalHumid,,
Cuspidaria convoluta,Cuspidaria,BIGNONIACEAE,1,2,3,0,2,2,1,2,1,5,1,2,0.668122271,0.017467249,0.222707424,0.0,TropicalHumid,TropicalHumid,
Cuspidaria lateriflora,Cuspidaria,BIGNONIACEAE,0,1,3,0,2,2,0,1,1,0,2,5,0.411167513,0.111675127,0.233502538,0.0,TropicalHumid,TropicalHumid,
Cuspidaria pulchra,Cuspidaria,BIGNONIACEAE,1,2,3,0,2,1,1,1,1,1,1,0,0.309090909,0.090909091,0.536363636,0.0,TropicalHumid,,Tropical dry forest
Cymbopetalum baillonii,Cymbopetalum,ANNONACEAE,1,2,3,0,2,1,1,2,0,5,1,4,0.927007299,0.01459854,0.0,0.02189781,TropicalHumid,TropicalHumid,Tropical humid forest
Cymbopetalum brasiliense,Cymbopetalum,ANNONACEAE,0,0,3,0,2,2,1,1,0,1,1,2,0.950704225,0.0,0.0,0.007042254,TropicalHumid,TropicalHumid,Tropical humid forest
